coID,sales,inventory,StratumWS,StratumLH
6660,8483.49,4656.44,1,1
6705,1241.13,4663.52,1,1
8342,9957.49,4762.8,1,1
4584,29050.37,4801.62,1,1
8450,5121.69,4829.51,1,1
8338,6598.85,4835.21,1,1
6722,1941.35,5013.61,1,1
8534,6761.13,5016.89,1,1
8550,4631.81,5082.33,1,1
8565,2813.14,5126.79,1,1
6726,11741.94,5139.77,1,1
6619,4458.96,5178.97,1,1
9260,39721.1,5219.95,1,1
8630,2624.06,5230.71,1,1
6551,9686.96,5235.45,1,1
5149,36906.94,5246.19,1,1
6791,14511.1,5272.39,1,1
8471,10141.67,5315.72,1,1
6771,17888.49,5316.28,1,1
8612,8155.79,5323.47,1,1
8645,9475.14,5378.32,1,1
6649,8249.41,5426.28,1,1
6671,10045.69,5437.07,1,1
8325,13429.93,5541.34,1,1
4588,37796.94,5554.53,1,1
9257,30554.82,5557.46,1,1
8320,7934.17,5566.59,1,1
6687,18621.43,5586.38,1,1
9189,70613.72,5611.98,1,1
6466,5127.16,5658.64,1,1
8380,2686.83,5687.45,1,1
8507,2090.67,5734.58,1,1
8347,12711.2,5735.63,1,1
8608,10702.42,5741.83,1,1
7477,96875.07,5767.26,1,1
8446,13686.56,5771.06,1,1
8559,9463.74,5794,1,1
8403,13884.2,5840.35,1,1
7436,95871.55,5845.48,1,1
8301,15464.02,5874.6,1,1
8402,11615.67,5884.79,1,1
9397,24731.23,5886.14,1,1
6632,10972.68,5901.3,1,1
9241,9272.17,5906.84,1,1
9068,93486.68,5907.16,1,1
4552,68241.05,5936.58,1,1
8560,12483.08,5942.63,1,1
8606,7623.99,5968.55,1,1
4414,90271.48,5987.63,1,1
8533,11802.55,5990.21,1,1
6614,19704.15,6049.45,1,1
8522,5469.49,6055.73,1,1
9213,18575.16,6221.63,1,1
6594,6752.61,6233.09,1,1
6641,16623.08,6279.36,1,1
6537,17872.88,6285.1,1,1
6534,13730.12,6295.91,1,1
9363,25293.07,6432.78,1,1
5012,48155.31,6445.07,1,1
8573,7762.53,6465.18,1,1
9271,34719.86,6504.83,1,1
6835,10329.63,6530.94,1,1
2636,64615.03,6551.51,1,1
6475,2362.35,6639.26,1,1
4344,79830.04,6642.63,1,1
9039,52829.87,6645.58,1,1
8491,12673.51,6699.12,1,1
8368,14784.19,6721.5,1,1
7392,111907.52,6731.3,1,1
6578,124.43,6756.02,1,1
7194,102355.5,6770.64,1,1
3240,11811.2,6776.34,1,1
6535,15020.14,6788.92,1,1
2201,21102.03,6805.15,1,1
5165,41197.77,6813.53,1,1
6555,16114.46,6820.72,1,1
9328,62065.21,6821.7,1,1
6588,11327.85,6850.22,1,1
9266,61832.99,6932.28,1,1
6523,20080.04,6934.56,1,1
6768,12721.02,6977.21,1,1
6731,15243.36,6989.84,1,1
6798,26322.81,7003.91,1,1
6747,14537.11,7004.89,1,1
7495,106654.58,7077.01,1,1
6786,8854.03,7085.84,1,1
8429,9879.46,7107.56,1,1
6565,16732.05,7111.47,1,1
8312,20541.47,7125.52,1,1
8652,15174.67,7149.05,1,1
6645,18592.87,7153.85,1,1
6621,28666.45,7167.62,1,1
7408,99958.3,7172.97,1,1
8407,19083.59,7196.99,1,1
7469,102998.7,7272.88,1,1
9151,6911.09,7323.15,1,1
7426,89480.96,7325.05,1,1
5543,67152.53,7326.57,1,1
6467,16881.81,7326.81,1,1
6482,22508.59,7334.23,1,1
6479,8716.99,7345.72,1,1
8567,5478.86,7358.04,1,1
8581,15059.78,7385.18,1,1
9174,20645.21,7457.75,1,1
2672,58246.1,7465.47,1,1
6549,13528.49,7491.38,1,1
6463,11839.99,7495.8,1,1
8298,12850.2,7509.5,1,1
2605,51997.74,7556.72,1,1
8455,11425.07,7556.79,1,1
6536,13155.55,7588.61,1,1
6509,17196.97,7627.86,1,1
7205,87833.64,7630.94,1,1
6587,20250.2,7649.57,1,1
8305,9966.59,7696.88,1,1
6772,12235.63,7714.86,1,1
6647,17772.21,7720.31,1,1
6715,9886.81,7846.76,1,1
7242,82995.21,7858.47,1,1
6736,5119.27,7873.99,1,1
7289,99493.68,7877.75,1,1
7326,100895.7,7906.35,1,1
3044,42724.02,7959.89,1,1
9385,36809.55,7975.49,1,1
5180,40615.42,7993.9,1,1
8475,5759.56,7997.39,1,1
8589,7481.52,8009.14,1,1
6767,13520.11,8040.98,1,1
6539,33232.09,8068.53,1,1
6543,24141.09,8099.11,1,1
6785,33940.3,8202.51,1,1
9329,45911.2,8218.13,1,1
8286,17184.57,8225.67,1,1
6520,13013.93,8246.85,1,1
7400,95891.8,8254.5,1,1
7251,67594.31,8266.27,1,1
6697,10359.58,8295.87,1,1
6732,16735.71,8300.43,1,1
9238,46948.16,8319.06,1,1
4389,102865.8,8328.76,1,1
9338,14151.27,8338,1,1
4984,27539.01,8356.61,1,1
8510,15029.36,8380.48,1,1
8489,8307.73,8390.24,1,1
8633,16835.01,8394.11,1,1
6526,18479.18,8399.03,1,1
6640,7051.77,8418.31,1,1
6502,18120.81,8454.52,1,1
6721,13933.31,8457.35,1,1
6507,4514.03,8458.26,1,1
7465,87676.1,8466.69,1,1
4635,65394.08,8474.33,1,1
8391,10989.04,8477.64,1,1
6826,17538.52,8493.49,1,1
6814,25953.07,8505.16,1,1
5311,31709.88,8509.84,1,1
8470,9425.12,8518.26,1,1
6601,30451.91,8519.92,1,1
6693,26163.13,8529.33,1,1
6691,6446.24,8543.51,1,1
6806,22039.98,8549.9,1,1
6665,10826.96,8602.1,1,1
8564,17089.23,8627.73,1,1
4860,18410.09,8657.19,1,1
9293,67123.3,8707.53,1,1
8641,18226.24,8714.06,1,1
6603,23535.58,8731.61,1,1
7430,78250.91,8746.24,1,1
7253,85871.02,8791.48,1,1
5380,31129.82,8799.87,1,1
6812,27386.45,8833.63,1,1
8378,16794.91,8845.42,1,1
4745,82603.87,8864.41,1,1
8348,11525.83,8870.14,1,1
1973,563620.11,8870.21,1,1
9225,57705.36,8909.63,1,1
6719,24956.59,8936.02,1,1
8495,13046.91,8936.64,1,1
5356,71559.36,8987.53,1,1
4639,29078.03,8997.62,1,1
8360,21186,9013.56,1,1
6720,20724.45,9035.92,1,1
6490,27278.79,9051.63,1,1
6651,26454.24,9066.3,1,1
8290,16465.44,9073.39,1,1
8622,9168.06,9075.7,1,1
1349,71926.37,9083.35,1,1
6586,16258.25,9125.83,1,1
8501,15594.93,9129.09,1,1
7366,88989.18,9162.89,1,1
6488,29527.47,9172.64,1,1
7278,94113.39,9188.28,1,1
6511,23628.38,9205.69,1,1
8288,22579.72,9267.83,1,1
8546,19344.71,9294.05,1,1
8598,9480.09,9335.09,1,1
8654,15619.64,9386.96,1,1
6694,7548.26,9401.53,1,1
5730,43459.66,9419.4,1,1
9148,29401.52,9423.77,1,1
7486,89126.95,9473.25,1,1
8638,9067.29,9482.9,1,1
8373,20611.16,9496.3,1,1
8289,5874.38,9542.19,1,1
6602,21894.75,9574.59,1,1
4598,19861.36,9578.98,1,1
6825,15722.93,9579.05,1,1
3208,51803.66,9587.59,1,1
6680,15962.41,9597.78,1,1
5512,30950.3,9604.32,1,1
2594,81509.97,9667.26,1,1
6517,20133.62,9691.75,1,1
6574,34842.97,9714.33,1,1
8333,8281.63,9731.34,1,1
8480,16887.71,9757.54,1,1
9032,58769.49,9757.7,1,1
7226,97966.24,9760.07,1,1
6787,21197.97,9764.56,1,1
8440,6626.28,9772.29,1,1
3027,91263.72,9789.34,1,1
7215,84530.64,9789.36,1,1
8624,17076.23,9799.89,1,1
6624,15955.27,9812.62,1,1
6558,15443.34,9832.33,1,1
6633,5975.6,9834.67,1,1
9075,67052.77,9840.54,1,1
6734,15706.54,9861.53,1,1
8306,6740.72,9894.82,1,1
9175,66282.36,9895.97,1,1
7445,100966.97,9897.24,1,1
6476,35926.81,9897.25,1,1
5247,33614.23,9933.58,1,1
6749,8391.75,9952.36,1,1
8478,7705.87,9955.35,1,1
7303,100366.89,9960.31,1,1
4744,1799.91,9996.67,1,1
6625,18848.8,10001.67,1,1
4360,86064.42,10021.54,1,1
6744,14824.59,10056.85,1,1
6486,11187.13,10069.64,1,1
8375,13004.74,10080.78,1,1
5098,34045.92,10123.54,1,1
3206,74568.51,10128.83,1,1
8394,13885.78,10130.88,1,1
8561,9555.26,10169.62,1,1
6672,23650.3,10197.64,1,1
3210,40607.42,10251.07,1,1
1311,67004.58,10305.37,1,1
6612,28747.42,10309.52,1,1
8307,13105.22,10325.1,1,1
6793,19857.88,10326.35,1,1
7345,93782.13,10341.87,1,1
7241,82229.77,10357.87,1,1
6757,17531.83,10372.3,1,1
6512,34143.12,10397.15,1,1
6630,25058.43,10404.29,1,1
4634,2550.69,10443.3,1,1
8639,20069.29,10471.41,1,1
6684,32359.12,10472.2,1,1
7446,87393.49,10489.12,1,1
7501,97451.9,10496.48,1,1
9155,47312.11,10527.47,1,1
8492,11320.82,10530.6,1,1
7321,92250.44,10536.94,1,1
8349,8283.77,10542.72,1,1
6706,23663.45,10554.52,1,1
9354,52428.94,10563.4,1,1
6728,19524.63,10580.36,1,1
6710,24532.35,10580.56,1,1
8509,14713.04,10610,1,1
7471,74152.16,10623.46,1,1
8569,5402.67,10624.62,1,1
8477,14254.53,10633.79,1,1
5676,2453.8,10641.72,1,1
6559,7071.56,10646.67,1,1
7314,71316.06,10658.26,1,1
6655,31970.56,10728.83,1,1
6577,23933.19,10755.29,1,1
6792,28899.77,10779.8,1,1
6606,15787.35,10780.36,1,1
6499,21022.01,10798.21,1,1
7338,74378.92,10810.84,1,1
6737,24286.44,10813.72,1,1
8536,12613.1,10831.97,1,1
9097,8246.88,10836.75,1,1
8434,14992,10856.59,1,1
9310,22662.7,10861.24,1,1
9202,26389.2,10876.7,1,1
6746,8033.14,10898.19,1,1
3270,68271.7,10904.81,1,1
4487,93085.58,10940.18,1,1
8552,16848.94,10948.82,1,1
6724,6792.71,10978.71,1,1
8547,15829.41,10981,1,1
2053,14526.55,10981.22,1,1
7453,80909.53,11001.27,1,1
8557,19255.5,11034.83,1,1
8637,12582.15,11054.65,1,1
6790,21133.57,11063.36,1,1
7296,63901.16,11094.31,1,1
8551,24628.27,11101.89,1,1
6678,10257.6,11102.3,1,1
9258,40374.24,11103.1,1,1
6702,14645.07,11159.39,1,1
6644,16304.11,11162.56,1,1
7204,92623.51,11169.11,1,1
7258,86010,11174.64,1,1
6759,18715.26,11179.03,1,1
6760,12596.75,11190,1,1
7267,81824.03,11225.4,1,1
9289,101835.91,11250.14,1,1
6530,13404.44,11255.35,1,1
6668,18737.13,11342.35,1,1
4988,9384.07,11355.81,1,1
7461,107966.32,11370.76,1,1
7460,85446.67,11374.09,1,1
8562,7954.05,11394.51,1,1
6818,9226.91,11404.36,1,1
6493,28824.03,11409.04,1,1
6484,35572.81,11415.16,1,1
6503,13504.64,11452.4,1,1
6540,27537.72,11456.22,1,1
7243,85922.18,11471.44,1,1
3078,69343.7,11504.58,1,1
8291,10093.79,11522.95,1,1
7224,80274.76,11559.45,1,1
3269,34338.86,11571.7,1,1
8458,12947.07,11589.37,1,1
8496,22275.76,11598.15,1,1
7401,82316.92,11603.37,1,1
7359,68411.74,11610.7,1,1
6815,27247.61,11614.28,1,1
8357,14480.27,11628.07,1,1
6729,7951.13,11645.27,1,1
6745,16846.88,11651.88,1,1
6821,23598.52,11696.62,1,1
8571,6507.23,11700.24,1,1
9073,89605.2,11701.22,1,1
6714,27309.47,11707.19,1,1
7280,81103.77,11763.19,1,1
7385,75991.74,11787.1,1,1
8530,12785.4,11788.29,1,1
7384,86305.06,11791.46,1,1
6579,33980.47,11793.04,1,1
6546,17180.46,11809.28,1,1
8541,9684.09,11854.72,1,1
6615,22050.56,11864.76,1,1
6634,26364.77,11869.99,1,1
8537,8092.3,11874.92,1,1
6750,5866.25,11887.56,1,1
8335,24268.8,11890.39,1,1
7363,92697.54,11892.59,1,1
8521,27795.03,11913.12,1,1
6664,23519.39,11930.24,1,1
7352,78922,11936.71,1,1
7462,69580.84,11946.85,1,1
8332,19594.3,11948.19,1,1
7273,68189.72,11951.07,1,1
8374,19609.38,11951.1,1,1
7519,86965.68,11970.6,1,1
7350,81299.27,12026.82,1,1
6608,27920.54,12029.57,1,1
6496,4457.43,12039.16,1,1
8486,13951.61,12045.75,1,1
6592,31730.87,12064.48,1,1
9069,46768.47,12066.14,1,1
7435,81153.05,12079.72,1,1
4665,21026.66,12098.42,1,1
6816,19319.56,12124.04,1,1
7269,77361.91,12138.61,1,1
8607,11717.24,12164.11,1,1
6830,7048.06,12166.71,1,1
7523,77758.07,12167.37,1,1
7379,90763.17,12168.36,1,1
7341,92726.78,12180.9,1,1
8649,19284.6,12190.97,1,1
801,141674.89,12197.8,1,1
6595,22023.96,12223.63,1,1
5622,20767.33,12233.93,1,1
7202,68243.35,12270.94,1,1
9326,44271.7,12282.76,1,1
9071,110340.48,12289.34,1,1
7481,75216.96,12291.34,1,1
8437,18987.67,12293.25,1,1
5556,86181.97,12297.19,1,1
9158,99264.71,12300.89,1,1
6470,7029.57,12353.86,1,1
6525,13820.16,12417.92,1,1
7505,82845.66,12418.8,1,1
8413,13124.89,12421.11,1,1
7423,90978.04,12511.69,1,1
5245,35792.14,12542.41,1,1
9315,65606.64,12607.06,1,1
6505,18433.86,12620.86,1,1
6789,15114.63,12632.58,1,1
7429,77107,12677.84,1,1
6683,30109.78,12689.19,1,1
8482,15893.37,12692.2,1,1
6696,31553.65,12696.01,1,1
7213,79625.89,12700.26,1,1
6478,12406.38,12721.42,1,1
7262,63281.19,12737.67,1,1
7236,85208.47,12739.47,1,1
8423,21534.88,12758.94,1,1
6506,18339.37,12770.98,1,1
6688,33307.78,12776.05,1,1
8621,26133.5,12783.52,1,1
6659,31952.08,12787.64,1,1
7283,85690.81,12796.06,1,1
6717,33918.98,12827.56,1,1
7475,89691.95,12830.02,1,1
6692,16940.83,12835.92,1,1
8327,25730.95,12842.31,1,1
5274,81836.85,12847.03,1,1
8575,13836.46,12856.48,1,1
7217,68230.54,12906.37,1,1
8336,22090.58,12943.91,1,1
8601,17009.57,12954.6,1,1
6801,9282.42,12959.23,1,1
6639,29838.3,12965.34,1,1
7274,79003.86,12980.61,1,1
6610,24682.83,12987.14,1,1
7250,57340.72,12997.89,1,1
9057,7383.16,13000.29,1,1
6701,25715.38,13039.03,1,1
8548,7278.6,13074.21,1,1
6809,23956.08,13079.74,1,1
6607,19229.91,13081.06,1,1
7492,69123.66,13081.22,1,1
9403,89151.86,13092.73,1,1
7355,71555.61,13099.95,1,1
6740,21487.98,13123.99,1,1
9327,7859.18,13148.21,1,1
8632,23072.17,13154.41,1,1
7305,78166.69,13174.5,1,1
8304,18542.44,13184.89,1,1
6919,41376.63,13188.5,1,1
6532,26033.66,13189.19,1,1
6568,16939.29,13212.31,1,1
6528,15409.71,13260.45,1,1
6556,6932.05,13282.56,1,1
6800,25255.38,13288.91,1,1
6822,18904.47,13290.84,1,1
8582,21716.14,13339,1,1
7240,66838.46,13339.23,1,1
9314,8550.6,13341.74,1,1
8421,5408.89,13354.51,1,1
9059,27596.58,13371.27,1,1
6823,21664.63,13376.55,1,1
5480,69499.22,13392.12,1,1
8389,13077.48,13411.39,1,1
7245,87620.19,13432.88,1,1
6518,42048.49,13465.23,1,1
6596,20629.07,13474.25,1,1
8481,16488.37,13475.72,1,1
6741,12072.96,13476.41,1,1
7261,72970.81,13480.12,1,1
5137,876.73,13507.44,1,1
6675,14193.29,13516.87,1,1
6623,37634.86,13518.95,1,1
6566,1800.08,13547.49,1,1
7805,38453.31,13547.7,1,1
9147,8795.53,13553.89,1,1
8528,19197.23,13563.78,1,1
6778,23324.62,13564.49,1,1
8696,41721.84,13570.63,1,1
6508,30102.1,13573.74,1,1
5542,55149.78,13592.39,1,1
6636,12981.89,13597.21,1,1
6653,9152.4,13600.75,1,1
6766,18257.01,13606.88,1,1
8372,11834.66,13641.39,1,1
7447,74281.31,13645.99,1,1
6571,17221.21,13683.59,1,1
8319,12339.91,13688.81,1,1
8428,16288.38,13695.14,1,1
7388,83827,13745.25,1,1
4533,48497.13,13757.72,1,1
7884,33172.87,13772.96,1,1
7076,41269.34,13784.16,1,1
4553,64548.87,13785.73,1,1
3196,67581.23,13787,1,1
6471,17138.24,13811.04,1,1
7773,42021.38,13829.38,1,1
6753,28190.45,13841.23,1,1
8315,12058.61,13851.29,1,1
8848,41860.57,13888.89,1,1
8369,23772.48,13901.1,1,1
9054,2547.27,13902.47,1,1
5237,17315.74,13913.64,1,1
7219,81674.97,13948.33,1,1
5209,94481.63,13954.02,1,1
9262,63825.6,13957.03,1,1
6807,19583.08,13965.49,1,1
8442,14685.8,13967.08,1,1
6670,25724.79,13980.35,1,1
7220,44775.08,13991.78,1,1
6779,20555.32,14008.8,1,1
6474,28871.54,14025.51,1,1
7146,41889.04,14027.32,1,1
6711,30298.22,14035.34,1,1
2691,50100.42,14046.37,1,1
6735,18521.61,14049.84,1,1
7522,65795.25,14051.36,1,1
6758,24321.02,14081.19,1,1
9164,43812.37,14086.57,1,1
9240,28764.26,14087.42,1,1
5566,13196.15,14092.56,1,1
7374,62613.5,14098.01,1,1
8620,16567.31,14099,1,1
6487,12960.82,14120.71,1,1
7367,50147.91,14120.75,1,1
4764,36355.51,14167.17,1,1
8341,11161.35,14184.13,1,1
8284,15794.47,14187.88,1,1
8526,24476.83,14195.07,1,1
9167,68306.64,14195.87,1,1
7335,88341.59,14208.51,1,1
6650,27905.2,14209.78,1,1
8643,20050.47,14216.32,1,1
5107,66242.15,14232,1,1
7222,56499.44,14258.32,1,1
6765,40215.63,14282.14,1,1
6497,24361.13,14306.97,1,1
8600,22570.24,14354.88,1,1
6552,14076.72,14377.14,1,1
8578,13054.01,14383.18,1,1
6833,38323.94,14400.87,1,1
8383,14273.9,14401.38,1,1
7196,69654.29,14426.46,1,1
7322,62674.53,14453.72,1,1
7891,39095.65,14454.69,1,1
6695,19302.43,14468.99,1,1
6739,28113.09,14479.01,1,1
7391,94247.31,14480.92,1,1
6773,35554.16,14494.31,1,1
6832,23167.16,14526.8,1,1
6635,7002.4,14543.18,1,1
8461,15664.27,14564.46,1,1
9387,56873.78,14565.81,1,1
6500,21447.88,14569.58,1,1
8708,41700.06,14597.22,1,1
6723,25139.16,14597.49,1,1
9362,65642.2,14612.93,1,1
6803,22160.76,14623.02,1,1
6514,40170.12,14640.42,1,1
6628,25023.72,14648.62,1,1
5028,73970.41,14654.23,1,1
8388,27300.16,14666.24,1,1
8586,31335.3,14668.74,1,1
8580,16283.86,14669.45,1,1
5062,20454.34,14681.68,1,1
7398,67476.71,14686.48,1,1
6709,43251.02,14704.43,1,1
7749,34237.79,14705.85,1,1
6718,24844.8,14706.65,1,1
7203,79306,14717.11,1,1
7488,55733.09,14718.51,1,1
9150,10502.38,14718.94,1,1
8362,25041.48,14731.2,1,1
8538,18003.29,14737.55,1,1
6604,19817.41,14759.26,1,1
7295,83740.31,14766.17,1,1
6529,11441.81,14770.84,1,1
8574,30301.89,14771.55,1,1
9009,42034.95,14780.1,1,1
7332,78734.3,14795.4,1,1
6788,44383.97,14804.49,1,1
6521,28792.74,14804.99,1,1
7276,53844.73,14811.78,1,1
8590,16170.49,14817.36,1,1
7386,79334.59,14819.77,1,1
7063,40585.06,14825.35,1,1
4645,17066.22,14833.58,1,1
4915,26883.21,14845.94,1,1
8611,18235.58,14848.25,1,1
8330,21005.45,14891.42,1,1
6495,9366.76,14897.32,1,1
2668,30216.96,14909.23,1,1
6756,20784.08,14923.41,1,1
8605,17458.02,14928.01,1,1
8469,33099.87,14945.93,1,1
8843,41472.18,14952.06,1,1
7464,47651.08,14959.88,1,1
8345,22579.14,14968.66,1,1
8441,22629.96,14973.03,1,1
6929,41850.5,14982.15,1,1
6712,11858.03,14990.9,1,1
6796,32669.25,14995.03,1,1
7260,74944.59,15024.63,1,1
8367,28965.49,15039.66,1,1
5368,60168.26,15043.66,1,1
4534,76594.83,15046.36,1,1
7358,82593.84,15047.31,1,1
6755,20415.75,15062.79,1,1
6782,8931.27,15071.54,1,1
7368,67942.96,15081.48,1,1
7320,82438.95,15107.68,1,1
6504,28407.12,15112.96,1,1
6562,16944.52,15120.21,1,1
4746,50688.15,15120.39,1,1
6600,27619,15120.39,1,1
9381,17030.3,15121.04,1,1
7263,44356.13,15135.42,1,1
3024,34154.53,15141.9,1,1
6810,21105.79,15143.29,1,1
5646,84928.43,15156.96,1,1
6658,30671.34,15161.32,1,1
6682,25067.2,15174.42,1,1
6627,42176.21,15183.8,1,1
7343,60689.22,15191.65,1,1
8340,24579.63,15215.53,1,1
8317,22913.22,15235.06,1,1
7879,34324.99,15240.51,1,1
6560,16141.08,15245.41,1,1
6829,4794.79,15246.85,1,1
7678,32617.98,15250.59,1,1
7820,33547.44,15256.54,1,1
6611,35952.9,15258.24,1,1
6894,41526.21,15259.79,1,1
8324,20121.81,15265.59,1,1
9165,134482.17,15272.23,1,1
6811,24498.57,15285.93,1,1
7518,63219.46,15295.04,1,1
7487,51569.09,15304.81,1,1
6781,21856.88,15312.21,1,1
8303,18580.37,15315.54,1,1
4980,85629.8,15327.43,1,1
8381,28864.58,15339.83,1,1
7606,35822.37,15344.72,1,1
4531,37698.01,15355.36,1,1
7228,73699.18,15369.08,1,1
5384,62422.5,15382.5,1,1
8710,42633.97,15396.1,1,1
4349,86411.38,15401.83,1,1
6570,23095.62,15431.73,1,1
7585,42560.56,15435.14,1,1
8460,23553.64,15443.73,1,1
7455,64485.85,15451.77,1,1
6485,18110.25,15451.86,1,1
8451,24417.7,15460.92,1,1
6698,24122.03,15492.15,1,1
6480,44262.58,15510.31,1,1
8618,21338.09,15515.95,1,1
3254,51391.05,15536.61,1,1
7442,58650.52,15592.97,1,1
6468,13068.38,15610.86,1,1
8412,21006.49,15650.82,1,1
7516,63731.91,15660.69,1,1
7365,78851.13,15662.44,1,1
8675,41116.77,15702.62,1,1
7750,40276.94,15707.64,1,1
8811,43006.94,15725.27,1,1
7376,91576.87,15725.8,1,1
6699,27039.26,15731.6,1,1
7794,33696.94,15734.62,1,1
6491,14239.52,15750.05,1,1
9022,15978.65,15750.86,1,1
7638,35125.25,15754.23,1,1
7545,42196.51,15760.29,1,1
6805,15299.65,15767.72,1,1
7484,59500.33,15786.6,1,1
8490,22509.28,15789.42,1,1
6769,15205.73,15803.43,1,1
4527,65497.51,15805.9,1,1
4820,39037.93,15808.36,1,1
6677,24413.57,15814.65,1,1
9296,45699.72,15828.7,1,1
6622,30114.99,15837.63,1,1
6947,40568.81,15839.49,1,1
8504,12955.95,15857.01,1,1
7387,84493.62,15860.72,1,1
8529,18686.78,15861.71,1,1
7231,75355.51,15863.16,1,1
7507,68164.96,15866.2,1,1
8554,26195.82,15871.12,1,1
7510,78805.49,15886.19,1,1
4916,34600.88,15886.92,1,1
6580,37148.98,15892.73,1,1
6469,26663.36,15892.88,1,1
6804,13979.24,15901.49,1,1
7380,60303.85,15912.4,1,1
8553,10046.96,15931.87,1,1
5251,38813.29,15932.65,1,1
8614,18140.61,15939.42,1,1
7433,54756.28,15948.67,1,1
6510,27080.55,15965.81,1,1
8610,23401.6,15965.93,1,1
7360,49303.64,15973.43,1,1
7173,41756.43,15979.88,1,1
7036,42026.42,15982.17,1,1
7814,42798.15,15990.42,1,1
6795,34824.74,15994.43,1,1
8488,25995.4,15997.19,1,1
750,236289.43,15997.39,1,1
7448,77443.11,15999.08,1,1
7016,40013.67,15999.17,1,1
6725,9744.17,16011.42,1,1
9243,152710.25,16024.3,1,1
6865,41084.84,16043.97,1,1
4700,27224.56,16061.95,1,1
8690,42075.86,16068.55,1,1
6629,21391.65,16075.09,1,1
9253,12894.53,16077.67,1,1
1303,46087.16,16101.71,1,1
7668,41430.34,16103.14,1,1
7237,43089.8,16117.57,1,1
8634,17155.46,16127.81,1,1
9145,48100.69,16133.11,1,1
6794,12010.22,16151.07,1,1
6777,34257.32,16157.1,1,1
7474,69666.18,16170.46,1,1
7631,33498.26,16176.65,1,1
6516,25550.54,16185.58,1,1
7247,67060.83,16190.23,1,1
7866,43290.63,16200.28,1,1
7179,39726.35,16204.06,1,1
8313,21639.04,16207.3,1,1
8532,21516.42,16212.73,1,1
8764,42114.91,16217.35,1,1
7227,69194.55,16231.38,1,1
7309,62528.17,16251.72,1,1
3234,71290.49,16257.51,1,1
8650,27786.37,16261.44,1,1
8474,24258.08,16268.16,1,1
6993,41710.5,16273.24,1,1
6616,31456.3,16283.89,1,1
8743,42196.23,16288.89,1,1
6733,23633.14,16322.65,1,1
6982,39527.42,16328.57,1,1
7235,80241.48,16336.94,1,1
8762,42248,16357.26,1,1
8949,41464.09,16357.29,1,1
8328,24474.17,16373.88,1,1
7208,55510.08,16374.79,1,1
8757,40900.94,16380.6,1,1
7865,34290.98,16391.34,1,1
7917,37054.89,16394,1,1
7766,34840.97,16395.85,1,1
1904,919997.36,16396.13,1,1
5309,71126.45,16424.25,1,1
7149,41108.46,16426.7,1,1
